name	trait1	
SR3982229	0
SR3982230	0
SR3982316	1
SR3987118	0
SR3987119	0
SR3982346	0
SR3987120	0
SR3987121	0
SR3987122	0
SR3987123	0
SR3467249	0
SR3987124	0
SR3987125	0
SR3987126	1
SR3996248	1
SR4017827	0
SR4017828	0
SR3996250	0
SR4017829	0
SR3996251	0
SR3987127	0
SR3987128	0
SR3987129	0
SR3996252	0
SR3996253	0
SR4017830	0
SR4017885	0
SR4017841	0
SR4017842	0
SR4017843	0
SR4017844	0
SR4017831	0
SR4017847	0
SR4035116	0
SR4017848	0
SR4017849	0
SR4035118	1
SR4017850	0
SR4017851	0
SR4017852	0
SR4017890	0
SR4017892	1
SR4017893	0
SR4017894	1
SR4017895	1
SR4035123	1
SR5666571	0
SR4035124	0
SR4035125	0
SR5666529	0
SR4065652	0
SR4065653	0
SR4065663	0
SR4035126	0
SR5666530	0
SR5666459	0
SR5666458	0
SR5666595	0
SR5666412	0
SR5666457	0
SR5666592	0
SR5666568	0
SR5666500	0
SR5666567	0
SR5666566	0
SR5666590	0
SR5666596	0
SR5666493	0
SR5666565	0
SR5666564	1
SR5666481	0
SR5666594	0
SR5666495	0
SR5666597	0
SR5666593	0
SR5666554	0
SR5666552	0
SR5666555	0
SR5666556	1
SR5666551	0
SR5666606	0
SR5666476	0
SR5666541	0
SR5666516	0
SR5666515	0
SR5666424	0
SR5666402	0
SR5666433	1
SR5666449	0
SR5666542	0
SR5666447	0
SR5666446	0
SR5666452	1
SR5666451	1
SR5666450	0
SR5666393	0
SR5666455	0
SR5666478	0
SR5666475	0
SR5666394	0
SR5666454	1
SR5666413	0
SR5666477	1
SR3982253	0
SR3987135	0
SR3996236	0
SR3996238	0
SR3996239	0
SR3996245	0
SR3987112	0
SR3987115	0
SR5666546	0
SR5666473	0
SR5666428	0
SR3996246	0
SR3996240	0
SR4017811	0
SR4017813	0
SR3996258	0
SR3996260	0
SR3996261	0
SR4017833	0
SR4017825	0
SR4017826	0
SR3996242	0
SR4017834	0
SR4017835	0
SR4017840	0
SR4017836	0
SR4017837	0
SR3996254	0
SR3996255	0
SR4017906	0
SR4017897	0
SR4017898	0
SR4017902	0
SR4017916	0
SR4017915	0
SR4017919	0
SR4017920	0
SR4017921	0
SR4017922	0
SR4017924	0
SR4017925	0
SR4017927	0
SR4017928	0
SR4017929	0
SR4035115	0
SR4065635	1
SR4065668	0
SR4065700	0
SR4065702	0
SR5666416	0
SR5666468	0
SR5666437	0
SR5666461	0
SR4065678	0
SR5666531	0
SR5666496	0
SR5666440	0
SR5666533	0
SR5666441	0
SR4065679	0
SR5666442	0
SR5666443	0
SR5666534	0
SR5666535	0
SR5666536	0
SR5666444	0
SR5666436	0
SR4065680	0
SR5666537	0
SR5666538	0
SR5666417	0
SR5666418	0
SR4065689	0
SR5666415	0
SR4065698	0
SR5666563	0
SR5666573	0
SR5666600	0
SR5666581	0
SR5666545	0
SR5666414	0
SR5666547	0
SR5666539	0
SR5666513	0
SR5666511	0
SR5666501	0
SR5666504	0
SR5666517	0
SR5666582	0
SR5666550	0
SR5666505	0
SR5666585	0
SR5666598	1
SR5666614	0
SR5666613	0
SR5666616	1
SR5666618	0
SR5666507	0
SR5666587	0
SR5666622	0
SR5666621	0
SR5666607	0
SR5666608	0
SR5666609	1
SR5666610	0
SR5666603	1
SR5666604	0
SR5666549	0
SR5666540	0
SR5666601	0
SR5666602	0
SR5666522	0
SR5666521	0
SR5666404	0
SR5666519	0
SR5666526	0
SR5666525	0
SR5666527	0
SR5666403	0
SR5666626	0
SR5666611	0
SR5666421	0
SR5666510	0
SR5666401	0
SR5666408	0
SR5666407	0
SR5666406	0
SR5666405	0
SR5666395	1
SR5666543	0
SR5666488	0
SR5666485	0
SR5666409	0
SR5666411	0
SR5666398	0
SR5666399	0
SR5666509	0
SR4065644	0
SR5666456	0
SR4065637	0
SR4065638	0
SR4065640	0
SR5666480	0
SR4065641	0
SR5666479	0
SR4065642	0
SR5666410	0
SR4065646	0
SR5666627	0
SR4065647	0
SR5666625	0
SR4017854	0
SR4017856	0
